,pmid,pmd,journal,year
2765,28466240,,  BMC Health Serv Res,  2017 Apr 26
2766,28466057,PMC5377868,  PLoS One,  2017 Apr 26
2767,28465297,PMC5471630,  Pediatr Res,  2017 Aug
2768,28464302,,  Sci Pharm,  2017 Apr 26
2769,28463996,PMC5412992,  Vaccine,  2017 Jun 5
2770,28463131,,  Vaccine,  2017 Jun 5
2771,28462600,,  Malar J,  2017 Apr 25
2772,28462494,,  PLoS One,  2017 Apr 25
2773,28462335,PMC5342641,  PLoS Med,  2017 Apr 25
2774,28461779,PMC5410037,  ACS Infect Dis,  2017 Jun 9
2775,28461210,,  Med Ultrason,  2017 Apr 22
2776,28460754,,  Breast Cancer Res Treat,  2017 Jul
2777,28459925,PMC5818804,  Pan Afr Med J,  2016 Nov 26
2778,28459563,,  Pan Afr Med J,  2016 Nov 26
2779,28459105,EMS72385,  Pan Afr Med J,  2016 Nov 26
2780,28458916,PMC5399923,  Pan Afr Med J,  2016 Nov 26
2781,28458692,,  Pan Afr Med J,  2016 Nov 26
2782,28457860,,  Pan Afr Med J,  2016 Nov 26
2783,28457557,,  Pan Afr Med J,  2016 Nov 26
2784,28456617,,  Pan Afr Med J,  2016 Nov 26
2785,28453821,,  Pan Afr Med J,  2016 Nov 26
2786,28451836,,  Pan Afr Med J,  2016 Nov 26
2787,28451049,PMC5398872,  Pan Afr Med J,  2016 Nov 26
2788,28451019,PMC5398259,  Pan Afr Med J,  2016 Nov 26
2789,28451016,PMC5398238,  Pan Afr Med J,  2016 Nov 26
2790,28450993,PMC5398215,  Pan Afr Med J,  2016 Nov 26
2791,28450794,PMC5404664,  Antimicrob Agents Chemother,  2017 Jun 27
2792,28450758,PMC5396332,  Philos Trans R Soc Lond B Biol Sci,  2017 Jun 5
2793,28449723,PMC5408470,  Surgery,  2017 Dec
2794,28449690,PMC5408380,  BMC Res Notes,  2017 Apr 24
2795,28449319,,  F1000Res,  2017 Feb 8
2796,28446176,PMC5406932,  J Hum Evol,  2017 May
2797,28445512,PMC5405965,  Eur J Med Chem,  2017 Jul 7
2798,28445454,PMC5605677,  BMC Pregnancy Childbirth,  2017 Apr 21
2799,28445444,PMC5489924,  J Med Entomol,  2017 Sep 1
2800,28442231,,  Health Policy Plan,  2017 Sep 1
2801,28442230,,  Ecol Evol,  2017 Mar 21
2802,28441956,PMC5405529,  EBioMedicine,  2017 Apr
2803,28441458,PMC5404849,  BMC Res Notes,  2017 Apr 20
2804,28441387,PMC5404752,  BMC Infect Dis,  2017 Apr 20
2805,28440625,,  BMC Infect Dis,  2017 Apr 20
2806,28440355,,  PLoS One,  2017 Apr 20
2807,28439735,,  Women Health,  2018 May-Jun
2808,28439339,PMC5390062,  Biochem Mol Biol Educ,  2017 Sep
2809,28439338,PMC5390059,  Front Public Health,  2017 Mar 29
2810,28439337,PMC5390066,  Front Microbiol,  2017 Apr 5
2811,28439336,PMC5390070,  Sci Rep,  2017 Apr 19
2812,28439335,PMC5390064,  Proc Biol Sci,  2017 Apr 26
2813,28439334,PMC5390058,  J Virol,  2017 Jun 9
2814,28439333,PMC5390067,  J Clin Microbiol,  2017 Jul
2815,28439332,PMC5390071,  Am J Clin Nutr,  2017 Jun
2816,28439331,PMC5390069,  Trop Doct,  2017 Apr
2817,28439330,PMC5390063,  Lancet,  2017 Apr 15
2818,28439329,PMC5390061,  AIDS Behav,  2018 Mar
2819,28439328,PMC5390068,  Malar J,  2017 Apr 19
2820,28439327,PMC5390065,  Int J Environ Res Public Health,  2017 Apr 14
2821,28439326,PMC5390060,  Med Mycol,  2018 Jan 1
2822,28438924,PMC5487672,  PLoS One,  2017 Apr 18
2823,28438909,PMC5413868,  Mycologia,  2017
2824,28438334,,  Emerg Infect Dis,  2017 May
2825,28438221,PMC5402664,  Int J Ment Health Syst,  2017 Apr 17
2826,28435666,,  Arch Dis Child,  2017 Sep
2827,28434538,,  BMC Public Health,  2017 Apr 17
2828,28433681,,  Salud Colect,  2016 Apr-Jun
2829,28431565,PMC5399849,  Int J Surg Pathol,  2017 Aug
2830,28431166,,  J Dent Res Dent Clin Dent Prospects,  2017 Winter
2831,28431108,PMC5886102,  Parasit Vectors,  2017 Apr 17
2832,28428873,PMC5395458,  Am J Bot,  2017 Apr
2833,28427948,PMC5405187,  PLoS Negl Trop Dis,  2017 Apr 14
2834,28427449,PMC5397764,  PLoS One,  2017 Apr 14
2835,28427365,PMC5397742,  Open Heart,  2017 Mar 1
2836,28427357,PMC5397818,  Front Plant Sci,  2017 Mar 31
2837,28426727,PMC5398558,  Food Chem,  2017 Sep 1
2838,28426342,,  Infect Dis Model,  2017 Apr 15
2839,28425189,,  J Sports Sci,  2018 Feb
2840,28424765,,  Oncotarget,  2017 May 23
2841,28424677,,  J Nutr,  2017 May
2842,28424462,PMC5430416,  J Exp Biol,  2017 Jun 15
2843,28424342,PMC5413915,  J Clin Microbiol,  2017 Jul
2844,28424286,PMC5469260,  Clin Vaccine Immunol,  2017 Jun 5
2845,28424253,PMC5483908,  BMC Genomics,  2017 Apr 12
2846,28424189,PMC5445677,  Ecology,  2017 Jul
2847,28424031,,  PLoS One,  2017 Apr 12
2848,28423850,,  Sci Rep,  2017 Apr 12
2849,28422014,,  J Child Adolesc Ment Health,  2017 May
2850,28421355,,  Drugs Real World Outcomes,  2017 Jun
2851,28420422,PMC5395743,  Front Microbiol,  2017 Mar 28
2852,28420084,PMC5409621,  Food Microbiol,  2017 Aug
2853,28419352,,  Int J Tuberc Lung Dis,  2017 May 1
2854,28419105,PMC5395156,  J Acquir Immune Defic Syndr,  2017 May 1
2855,28418780,,  PLoS One,  2017 Apr 11
2856,28418293,,  J Acquir Immune Defic Syndr,  2017 May 1
2857,28416966,PMC5392905,  J Acquir Immune Defic Syndr,  2017 May 1
2858,28416560,,  J Acquir Immune Defic Syndr,  2017 May 1
2859,28415983,PMC5392985,  AIDS,  2017 Jun 19
2860,28414836,,  Phytopathology,  2017 Aug
2861,28413897,,  Molecules,  2017 Apr 8
2862,28413597,,  Lancet Glob Health,  2017 May
2863,28412962,PMC5392979,  PLoS One,  2017 Apr 10
2864,28411209,,  J Acquir Immune Defic Syndr,  2017 Sep 1
2865,28410369,PMC5406007,  Virol Sin,  2017 Apr
2866,28410366,PMC5391918,  Theor Appl Genet,  2017 Jul
2867,28409013,PMC5384458,  Energy Ecol Environ,  2016 Jun
2868,28408912,,  Biochem Med (Zagreb),  2017 Feb 15
2869,28407953,,  Biochem Med (Zagreb),  2017 Feb 15
2870,29928735,PMC6001968,  Child Educ,  2016 Sep-Oct
2871,28406358,,  J Adolesc Health,  2017 Aug
2872,28404899,PMC5470984,  J Dairy Sci,  2017 Jun
2873,28404834,PMC5404208,  Mol Ecol,  2017 Jul
2874,28404728,,  J Anim Ecol,  2017 Jul
2875,28404679,PMC5483905,  BMC Health Serv Res,  2017 Apr 7
2876,28404574,PMC5461374,  BMC Complement Altern Med,  2017 Apr 7
2877,28403820,PMC5389087,  PLoS One,  2017 Apr 7
2878,28403506,,  PLoS Negl Trop Dis,  2017 Apr 7
2879,28403211,PMC5389814,  Genome Announc,  2017 Apr 6
2880,28401903,PMC5388846,  Surgery,  2017 Dec
2881,28401773,NIHMS984737,  Psychol Med,  2017 Oct
2882,28401493,PMC5457308,  HIV Clin Trials,  2017 May
2883,28400759,,  JAMA Pediatr,  2017 Jun 1
2884,28400021,,  Pediatr Infect Dis J,  2017 Aug
2885,28399960,,  J Biosoc Sci,  2018 Mar
2886,28399558,PMC5407405,  Plant Cell Environ,  2017 Aug
2887,28399133,PMC5388473,  Environ Sci Pollut Res Int,  2017 May
2888,28399001,,  J R Soc Interface,  2017 Apr
2889,28398998,,  J Am Heart Assoc,  2017 Apr 5
2890,28398994,PMC5400406,  BMC Pediatr,  2017 Apr 5
2891,28398959,,  PLoS One,  2017 Apr 5
2892,28398875,,  PLoS Negl Trop Dis,  2017 Apr 5
2893,28397756,,  Clin Pharmacol Ther,  2017 Nov
2894,28395836,PMC5390851,  Proc Natl Acad Sci U S A,  2017 Apr 18
2895,28394904,PMC5386267,  Sex Transm Infect,  2017 Nov
2896,28394821,NIHMS864585,  Int J Hyg Environ Health,  2017 May
2897,28393313,,  Front Public Health,  2017 Mar 20
2898,28393303,PMC5487692,  Contraception,  2017 Jun
2899,28393102,NIHMS802396,  Phytopathology,  2017 Jul
2900,28392733,PMC5382844,  J Gen Virol,  2017 Mar
2901,28392732,PMC5382860,  Theor Med Bioeth,  2017 Apr
2902,28392577,NIHMS818873,  J Sex Med,  2017 Apr
2903,28391964,,  Vaccine,  2017 Apr 19
2904,28390719,,  Int J Food Microbiol,  2017 Jun 5
2905,28390111,,  J Int AIDS Soc,  2017 Jan 12
2906,28390066,,  J Int AIDS Soc,  2017 Mar 24
2907,28388951,PMC5385061,  Clin Infect Dis,  2017 Apr 1
2908,28388918,PMC5383982,  PLoS One,  2017 Mar 31
2909,28388674,PMC5384779,  J Int AIDS Soc,  2017 Feb 10
2910,28388625,PMC5413359,  J Int AIDS Soc,  2017 Mar 8
2911,28385838,PMC5383886,  BMJ Open,  2017 Mar 29
2912,28385178,,  BMC Res Notes,  2017 Mar 31
2913,28385165,PMC6034513,  PLoS One,  2017 Mar 30
2914,28385131,NIHMS861760,  PLoS Negl Trop Dis,  2017 Mar 30
2915,28384795,PMC5540012,  Int J Environ Res Public Health,  2017 Mar 30
2916,28383390,,  MMW Fortschr Med,  2017 Mar
2917,28382871,,  Trop Anim Health Prod,  2017 Jun
2918,28382683,,  Z Gesundh Wiss,  2017
2919,28382450,,  J Virol,  2017 May 12
2920,28381641,PMC5414904,  Am J Clin Nutr,  2017 May
2921,28381468,PMC5533038,  BMC Endocr Disord,  2017 Mar 29
2922,28381208,PMC5382487,  AIDS,  2017 Jun 1
2923,28380073,PMC5381886,  J Clin Virol,  2017 Aug
2924,28379956,PMC5393894,  J Clin Virol,  2017 Aug
2925,28378903,,  BMC Health Serv Res,  2017 Mar 28
2926,28377522,PMC5402454,  BMC Pregnancy Childbirth,  2017 Mar 28
2927,28377421,,  Intensive Care Med,  2017 May
2928,28377209,,  Front Plant Sci,  2017 Mar 13
2929,28373971,,  BMJ Open,  2017 Mar 27
2930,28372978,PMC5551387,  J Ethnopharmacol,  2017 May 5
2931,28368237,,  BMC Health Serv Res,  2017 Mar 27
2932,28366188,,  PLoS One,  2017 Mar 27
2933,28365840,,  J Anim Breed Genet,  2017 Dec
2934,28364982,PMC5388349,  Sci Adv,  2017 Mar 8
2935,28364923,,  J Prosthet Dent,  2017 Oct
2936,28364623,,  Gastrointest Endosc,  2017 Sep
2937,28364566,,  J Anim Ecol,  2017 Jul
2938,28364560,,  Acta Trop,  2017 Jul
2939,28362936,PMC5848229,  Global Health,  2017 Mar 23
2940,28362869,PMC5375155,  Retrovirology,  2017 Mar 23
2941,28362073,,  BMC Endocr Disord,  2017 Mar 23
2942,28361508,,  BMC Genomics,  2017 Mar 23
2943,28360249,PMC5372016,  Pathogens,  2017 Mar 21
2944,28359328,PMC5374617,  Viruses,  2017 Mar 18
2945,28358899,PMC5373544,  Health Policy Plan,  2017 Jul 1
2946,28358802,PMC5388494,  Health Justice,  2017 Dec
2947,28358348,PMC5409560,  BMC Emerg Med,  2017 Mar 23
2948,28357771,,  Clin Infect Dis,  2017 Jun 1
2949,28357644,,  PLoS One,  2017 Mar 22
2950,28357195,PMC5350242,  Health Promot Perspect,  2017 Mar 5
2951,28356529,PMC5432853,  Biodivers Data J,  2017 Jan 9
2952,28356278,PMC5402033,  AIDS Care,  2017 Nov
2953,28356101,PMC5372245,  Environ Manage,  2018 Jul
2954,28353537,,  PLoS One,  2017 Mar 21
2955,28352042,,  PLoS One,  2017 Mar 21
2956,28351689,,  Am J Public Health,  2017 May
2957,28351688,,  J Microbiol Methods,  2017 May
2958,28351364,PMC5371255,  Mol Phylogenet Evol,  2017 Jun
2959,28351350,PMC5371243,  Emerg Infect Dis,  2017 Apr
2960,28349179,,  Eur J Appl Physiol,  2017 May
2961,28348569,,  Soc Psychiatry Psychiatr Epidemiol,  2017 Nov
2962,28348194,PMC5372100,  Case Rep Surg,  2017
2963,28347832,,  J Trop Med,  2017
2964,28347306,PMC5368892,  BMJ Open,  2017 Mar 20
2965,28346527,PMC5367822,  BMC Health Serv Res,  2017 Mar 21
2966,28345262,,  BMC Infect Dis,  2017 Mar 20
2967,28345042,PMC5342653,  Curr Opin Pediatr,  2017 Jun
2968,28343674,,  Paediatr Perinat Epidemiol,  2017 May
2969,28342894,,  Int J Anal Chem,  2017
2970,28342277,,  AIDS Res Hum Retroviruses,  2017 Sep
2971,28336270,,  Theor Appl Genet,  2017 Jun
2972,28335786,PMC5363016,  Hum Immunol,  2017 Apr
2973,28335782,PMC5364581,  Contemp Clin Trials,  2017 Jun
2974,28335755,PMC5364612,  Trop Anim Health Prod,  2017 Apr
2975,28335723,PMC5364706,  Pediatrics,  2017 Apr
2976,28335576,PMC5371900,  Glob Heart,  2017 Jun
2977,28335454,PMC5371803,  Glob Heart,  2017 Dec
2978,28334856,,  J Genet Genomics,  2017 Mar 20
2979,28332099,PMC5362563,  PLoS One,  2017 Mar 16
2980,28330440,PMC5363018,  PLoS One,  2017 Mar 16
2981,28329184,PMC5848300,  PLoS One,  2017 Mar 16
2982,28328966,PMC5362197,  J Public Health Afr,  2016 Aug 17
2983,28326285,,  J Public Health Afr,  2016 Aug 17
2984,28325978,PMC5345125,  Front Microbiol,  2017 Mar 1
2985,28325068,,  Stoch Environ Res Risk Assess,  2017
2986,28324144,PMC5999122,  Proc Biol Sci,  2017 Mar 15
2987,28323886,PMC5360311,  AIDS,  2017 Apr
2988,28323860,PMC5360318,  AIDS,  2017 Apr
2989,28323479,,  J Anim Ecol,  2017 Jul
2990,28323065,,  Int J Psychol,  2017 Mar 14
2991,28323052,,  Pan Afr Med J,  2016 Dec 13
2992,28322694,,  Child Adolesc Psychiatry Ment Health,  2017 Mar 14
2993,28321639,,  Trop Med Health,  2017 Mar 10
2994,28321455,,  Int J Hyg Environ Health,  2017 May
2995,28321356,,  Pan Afr Med J,  2016 Oct 17
2996,28321260,,  J Acquir Immune Defic Syndr,  2017 Jun 1
2997,28320794,PMC5372155,  Sci Rep,  2017 Mar 14
2998,28320374,PMC5360082,  Lancet Glob Health,  2017 Apr
2999,28320341,PMC5359841,  Public Health,  2017 Mar
3000,28319559,,  Reprod Health,  2017 Mar 14
3001,28317139,,  Hum Resour Health,  2017 Mar 14
3002,28316627,,  BMC Biotechnol,  2017 Mar 13
3003,28316253,,  Microbiol Res,  2017 May
3004,28315926,PMC5440511,  Ann Glob Health,  2016 Sep - Oct
3005,28315719,PMC5519768,  Ann Glob Health,  2016 Sep - Oct
3006,28315480,PMC5522580,  PLoS Negl Trop Dis,  2017 Mar 10
3007,28315138,,  AIDS Patient Care STDS,  2017 Mar
3008,28302673,PMC5369673,  Sci Rep,  2017 Mar 10
3009,28302553,PMC5967381,  PLoS One,  2017 Mar 9
3010,28302547,,  Ocul Oncol Pathol,  2017 Jan
3011,28302420,,  JMIR Res Protoc,  2017 Mar 8
3012,28301607,PMC5354366,  J Virol Methods,  2017 Jun
3013,28301564,PMC5354382,  Foods,  2017 Mar 5
3014,28301530,PMC5354381,  Ecology,  2017 May
3015,28299154,,  PLoS Negl Trop Dis,  2017 Mar 8
3016,28299153,,  Health Care Women Int,  2017 May
3017,28298901,,  Br J Haematol,  2017 Jun
3018,28298880,PMC5329093,  Int J Food Microbiol,  2017 May 16
3019,28298347,PMC5360918,  Lancet,  2017 Mar 4
3020,28296803,,  AIDS Res Ther,  2017 Mar 8
3021,28296798,PMC5540664,  Arthritis Res Ther,  2017 Mar 7
3022,28295318,,  New Dir Child Adolesc Dev,  2017 Mar
3023,28295298,,  Int J Evid Based Healthc,  2017 Mar
3024,28293350,PMC5337264,  Food Sci Nutr,  2016 Jun 25
3025,28293286,PMC5348803,  Food Sci Nutr,  2016 May 20
3026,28293130,PMC5345134,  Insects,  2017 Feb 28
3027,28292643,PMC5469691,  Zootaxa,  2017 Feb 22
3028,28292054,PMC5325493,  PLoS One,  2017 Mar 6
3029,28291050,NIHMS856137,  Stud Fam Plann,  2017 Jun
3030,28290505,PMC5349518,  J Low Genit Tract Dis,  2017 Apr
3031,28288747,PMC5348605,  Cardiovasc J Afr,  2017 Jan/Feb
3032,28288727,,  Pediatr Diabetes,  2017 Dec
3033,28288664,PMC5348742,  J Afr Econ,  2016 Jun
3034,28288650,PMC5348790,  Agric Syst,  2017 Mar
3035,28288608,PMC5347829,  Popul Health Metr,  2017 Mar 4
3036,28285663,,  BMC Pregnancy Childbirth,  2017 Mar 4
3037,28283145,,  PLoS One,  2017 Mar 3
3038,28283117,,  Anal Bioanal Chem,  2017 May
3039,28282378,PMC5362244,  ScientificWorldJournal,  2017
3040,28282249,,  AIDS Res Treat,  2017
3041,28281576,PMC5345021,  Malar J,  2017 Mar 2
3042,28278210,PMC5344379,  PLoS One,  2017 Mar 2
3043,28275608,PMC5318848,  Cult Med Psychiatry,  2017 Sep
3044,28274904,PMC5434770,  BMJ Innov,  2017 Feb
3045,28274744,,  Jpn J Infect Dis,  2017 Jul 24
3046,28273883,PMC5368539,  J Nutr,  2017 Apr
3047,28273343,,  BMC Infect Dis,  2017 Mar 1
3048,28273071,PMC5358895,  BMC Genomics,  2017 Mar 2
3049,28273003,,  Ann Palliat Med,  2017 Apr
3050,28272734,,  Biomed Res Int,  2017
3051,28271855,,  Biomed Res Int,  2017
3052,28271846,PMC5491333,  BMJ Open,  2017 Feb 28
3053,28270215,PMC5341455,  Behav Processes,  2017 May
3054,28270202,PMC5341350,  Pharmaceutics,  2017 Feb 24
3055,28269864,,  PLoS Med,  2017 Feb 28
3056,28267285,,  Pediatr Blood Cancer,  2017 Sep
3057,28267076,,  J Child Psychol Psychiatry,  2017 Aug
3058,28265370,PMC5332260,  J Food Sci Technol,  2017 Feb
3059,28265359,PMC5332258,  BMC Public Health,  2017 Feb 28
3060,28264479,PMC5371953,  Int J Equity Health,  2017 Feb 27
3061,28264323,,  PLoS One,  2017 Feb 27
3062,28264046,PMC5338796,  PLoS One,  2017 Feb 27
3063,28263396,,  Acta Paediatr,  2017 Jun
3064,28263237,NIHMS851813,  J S Afr Vet Assoc,  2017 Jan 20
3065,28262911,,  J Health Care Poor Underserved,  2017
3066,28261934,,  J Health Care Poor Underserved,  2017
3067,28260842,NIHMS848209,  PLoS One,  2017 Feb 24
3068,28260829,PMC5312657,  Lancet HIV,  2017 May
3069,28259148,PMC5336647,  BMC Musculoskelet Disord,  2017 Feb 23
3070,28257646,PMC5336611,  PLoS One,  2017 Feb 23
3071,28257464,PMC5336219,  Molecules,  2017 Feb 20
3072,28255920,,  Parasit Vectors,  2017 Feb 22
3073,28255577,,  Int J Tuberc Lung Dis,  2017 Mar 1
3074,28255456,,  Int J Tuberc Lung Dis,  2017 Mar 1
3075,28253868,PMC5335827,  Int J Tuberc Lung Dis,  2017 Mar 1
3076,28253315,PMC5333947,  Drugs Aging,  2017 Apr
3077,28251478,,  Trop Anim Health Prod,  2017 Apr
3078,28250964,PMC5293854,  Front Plant Sci,  2017 Feb 7
3079,28250260,,  Curr Biol,  2017 Feb 20
3080,28250195,,  J Food Prot,  2016 Sep
3081,28249575,PMC5333390,  J Food Prot,  2016 Nov
3082,28249569,PMC5333379,  J Food Prot,  2017 Jan
3083,28249546,,  Conserv Biol,  2017 Aug
3084,28246610,,  Front Plant Sci,  2017 Feb 6
3085,28246598,,  Am J Trop Med Hyg,  2017 May
3086,28246140,PMC5337739,  Am J Trop Med Hyg,  2017 Apr
3087,28245979,PMC5407888,  Malar J,  2017 Feb 20
3088,28245574,PMC5374377,  Genome Biol,  2017 Feb 20
3089,28245259,PMC5330448,  Int J Equity Health,  2017 Feb 21
3090,28244653,,  BMC Infect Dis,  2017 Feb 20
3091,28244602,NIHMS847753,  Viruses,  2017 Feb 18
3092,28242928,PMC5306022,  Asia Pac J Oncol Nurs,  2017 Jan-Mar
3093,28241872,PMC5330022,  Asia Pac J Oncol Nurs,  2017 Jan-Mar
3094,28241826,PMC5327514,  Asia Pac J Oncol Nurs,  2017 Jan-Mar
3095,28241032,PMC5328402,  Asia Pac J Oncol Nurs,  2017 Jan-Mar
3096,28241006,PMC5328255,  World J Nucl Med,  2017 Jan-Mar
3097,28240381,NIHMS857301,  Vaccine,  2017 Mar 14
3098,28240033,,  Int J Infect Dis,  2017 Apr
3099,28238994,PMC5427715,  Lancet Oncol,  2017 Feb
3100,28238988,,  BMC Public Health,  2017 Feb 17
3101,28235021,PMC5325546,  PLoS Negl Trop Dis,  2017 Feb 17
3102,28233660,,  PLoS Negl Trop Dis,  2017 Feb 17
3103,28231784,PMC5324296,  Orthop J Sports Med,  2016 Dec 13
3104,28231338,PMC5322890,  BMC Public Health,  2017 Feb 16
3105,28230755,,  BMC Evol Biol,  2017 Feb 16
3106,28228160,PMC5322668,  PLoS Negl Trop Dis,  2017 Feb 16
3107,28225342,,  Medicine (Baltimore),  2017 Feb
3108,28225338,,  Health Policy Plan,  2017 Mar 1
3109,28225335,NIHMS849555,  Glob Ecol Conserv,  2016 Oct
3110,28224284,,  Proc Natl Acad Sci U S A,  2017 Feb 28
3111,28224262,,  BMC Res Notes,  2017 Feb 15
3112,28224000,,  Pediatr Infect Dis J,  2017 Dec
3113,28222287,,  AIDS Behav,  2018 Mar
3114,28221937,,  Virol J,  2017 Feb 14
3115,28221910,,  Environ Res,  2017 Apr
3116,28221882,,  PLoS One,  2017 Feb 14
3117,28221699,,  Case Rep Surg,  2017
3118,28220136,,  Am J Trop Med Hyg,  2017 May
3119,28219993,PMC5417205,  Lancet Glob Health,  2017 Mar
3120,28219991,PMC5392616,  PLoS One,  2017 Feb 13
3121,28219435,PMC5319082,  Virus Res,  2017 Mar 15
3122,28219390,PMC5319050,  New Phytol,  2017 May
3123,28219374,PMC5319040,  Int J Gynaecol Obstet,  2017 May
3124,28219321,PMC5319185,  Qual Life Res,  2017 Jun
3125,28218698,PMC5332950,  BMC Res Notes,  2017 Feb 10
3126,28217729,PMC5297231,  Zootaxa,  2017 Jan 30
3127,28217728,PMC5297229,  World Neurosurg,  2017 May
3128,28217727,PMC5297228,  Matern Child Nutr,  2017 Oct
3129,28217723,PMC5297230,  Transfusion,  2017 Apr
3130,28217016,PMC5314659,  Vet Rec,  2017 Feb 11
3131,28216189,,  BMC Res Notes,  2017 Feb 10
3132,28216179,,  Reprod Health,  2017 Feb 9
3133,28214406,,  BMC Genet,  2017 Feb 9
3134,28212643,PMC5314581,  PLoS One,  2017 Feb 9
3135,28212398,PMC5333911,  Int J STD AIDS,  2017 Oct
3136,28212379,PMC5333903,  New Phytol,  2017 May
3137,28210643,PMC5298561,  Med Ultrason,  2017 Jan 31
3138,28209194,PMC5314605,  Data Brief,  2017 Jan 17
3139,28209121,PMC5314619,  Infect Dis Poverty,  2017 Feb 9
3140,28207905,PMC5332088,  BMC Public Health,  2017 Feb 8
3141,28207516,PMC5319505,  PLoS One,  2017 Feb 8
3142,28207061,PMC5886182,  Int J Environ Res Public Health,  2017 Feb 7
3143,28203619,PMC5291319,  Sci Rep,  2017 Feb 8
3144,28202728,PMC5338538,  Zoonoses Public Health,  2017 Nov
3145,28202077,PMC5312532,  Bioorg Med Chem,  2017 Mar 1
3146,28198789,NIHMS851072,  Oncologist,  2017 Feb
3147,28197845,,  J Hum Evol,  2017 Feb
3148,28196510,PMC5310022,  Int J Equity Health,  2017 Feb 6
3149,28196346,,  BMC Endocr Disord,  2017 Feb 6
3150,28196085,PMC5308609,  Psychol Health Med,  2017 Mar
3151,28194294,,  Agric Syst,  2017 Feb
3152,28193744,PMC5417226,  J Agric Food Chem,  2017 Mar 1
3153,28193398,PMC5316558,  Int J Epidemiol,  2016 Dec 1
3154,28192518,PMC5305225,  BMC Health Serv Res,  2017 Feb 3
3155,28192163,,  Int J Tuberc Lung Dis,  2017 Jan 1
3156,28191641,,  Sci Rep,  2017 Feb 3
3157,28190262,,  Afr J Prim Health Care Fam Med,  2016 Dec 2
3158,28188563,,  Onderstepoort J Vet Res,  2017 Jan 30
3159,28187779,PMC5303249,  Pan Afr Med J,  2016 Sep 20
3160,28187603,,  Pan Afr Med J,  2016 Aug 17
3161,28185975,,  Arch Dis Child Fetal Neonatal Ed,  2017 May
3162,28185418,,  Health Res Policy Syst,  2017 Feb 2
3163,28185296,,  BMC Public Health,  2017 Feb 2
3164,28183900,,  PLoS One,  2017 Feb 2
3165,28183341,PMC5301342,  J Water Health,  2017 Feb
3166,28183308,PMC5299702,  AIDS Care,  2017 Aug
3167,28183280,PMC5301378,  Dev Sci,  2018 Mar
3168,28182705,PMC5300213,  Online J Public Health Inform,  2016 Sep 15
3169,28181860,,  Front Plant Sci,  2017 Jan 18
3170,28181244,,  Bioinformation,  2016 Jun 15
3171,28180201,,  Food Policy,  2017 Jan
3172,28180140,PMC5288318,  Parasite Epidemiol Control,  2017 Feb 3
3173,28179024,PMC5299645,  PLoS One,  2017 Feb 1
3174,28178973,PMC5299674,  Glob Chang Biol,  2017 Aug
3175,28178281,PMC5298248,  Parasit Vectors,  2017 Jan 31
3176,28178226,PMC5334706,  BMC Public Health,  2017 Jan 31
3177,28176810,PMC5296875,  PLoS One,  2017 Jan 31
3178,28176495,,  PLoS Comput Biol,  2017 Jan 31
3179,28174064,,  J Acquir Immune Defic Syndr,  2017 May 1
3180,28167567,PMC5330703,  BJOG,  2018 Jan
3181,28166905,,  Popul Stud (Camb),  2017 Mar
3182,28166779,PMC5294805,  Sci Adv,  2017 Jan 27
3183,28166768,PMC5294825,  Antimicrob Resist Infect Control,  2017 Jan 25
3184,28164723,,  JMIR Public Health Surveill,  2017 Jan 30
3185,28163354,PMC5268338,  Lancet Psychiatry,  2017 Feb
3186,28161946,,  Curr Top Med Chem,  2017
3187,28161712,PMC5841841,  PLoS One,  2017 Jan 30
3188,28158984,PMC5291974,  Energy Ecol Environ,  2016 Dec
3189,28157468,,  AIDS Care,  2017 Sep
3190,28155918,PMC5290737,  Adv Parasitol,  2017
3191,28155322,,  J Trop Pediatr,  2017 Oct 1
3192,28155284,,  J Acquir Immune Defic Syndr,  2017 Jun 1
3193,28154706,PMC5268751,  Int J Microbiol,  2017
3194,28154670,PMC5267875,  Front Plant Sci,  2017 Jan 12
3195,28154110,PMC5474098,  Glob Health Sci Pract,  2017 Mar 28
3196,28153020,PMC5290627,  Malar J,  2017 Jan 26
3197,28152987,PMC5290608,  Hum Resour Health,  2017 Jan 26
3198,28152044,PMC5289499,  PLoS One,  2017 Jan 26
3199,28151436,,  PLoS One,  2017 Jan 26
3200,28150501,NIHMS892357,  PLoS One,  2017 Jan 26
3201,28150391,,  PLoS Negl Trop Dis,  2017 Jan 26
3202,28149444,PMC5266757,  Ann Am Thorac Soc,  2017 Apr
3203,28149300,,  Infect Disord Drug Targets,  2017
3204,28149239,,  Mycotoxin Res,  2017 May
3205,28149040,PMC5267949,  Public Health Action,  2016 Dec 21
3206,28148997,PMC5268341,  BMJ Open Gastroenterol,  2017 Jan 3
3207,29774281,PMC5952677,  J Nutr,  2017 Mar
3208,28146561,PMC5287459,  Epidemiol Psychiatr Sci,  2018 Apr
3209,28145106,,  Malar J,  2017 Jan 25
3210,28143523,PMC5282843,  BMC Pediatr,  2017 Jan 25
3211,28143467,PMC5282773,  Sci Rep,  2017 Jan 25
3212,28141840,PMC5283741,  Environ Monit Assess,  2017 Feb
3213,28141824,PMC5308866,  Acta Pharm Sin B,  2017 Jan
3214,28141782,NIHMS845094,  Front Plant Sci,  2017 Jan 10
3215,28139875,NIHMS831316,  BMC Palliat Care,  2017 Jan 25
3216,28139166,NIHMS842394,  Zoonoses Public Health,  2017 Nov
